Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,JST,C265102
LED1,LED_D5.0mm-4_RGB_nopackage,1,LED_5mm_RABG,
