Designator,Mid X,Mid Y,Rotation,Layer
J2,116.5,-78.0,0.0,top
J3,96.52,-84.81,0.0,top
J4,111.76,-84.77,0.0,top
J5,136.5,-78.0,0.0,top
J7,83.23,-96.5,270.0,top
J8,78.5,-85.77,0.0,top
J9,126.6,-93.49,0.0,top
Q1,87.05,-81.5,90.0,top
Q2,87.05,-86.4375,90.0,top
Q3,87.05,-90.9375,90.0,top
R1,91.4125,-80.5,180.0,top
R2,91.4125,-85.5,180.0,top
R3,91.5,-90.5,180.0,top
R4,82.0875,-81.5,180.0,top
R5,82.0875,-86.0,180.0,top
R6,82.0875,-91.0,180.0,top
